"";"NUTS_ID";"Swedish_name";"result"
"1087";"SE110";"Stockholms län";0
"1088";"SE121";"Uppsala län";1
"1089";"SE122";"Södermanlands län";0
"1090";"SE123";"Östergötlands län";0
"1091";"SE124";"Örebro län";0
"1092";"SE125";"Västmanlands län";0
"1093";"SE211";"Jönköpings län";0
"1094";"SE212";"Kronobergs län";2
"1095";"SE213";"Kalmar län";0
"1096";"SE214";"Gotlands län";2
"1097";"SE221";"Blekinge län";0
"1098";"SE224";"Skåne län";3
"1099";"SE231";"Hallands län";0
"1100";"SE232";"Västra Götalands län";1
"1101";"SE311";"Värmlands län";0
"1102";"SE312";"Dalarnas län";0
"1103";"SE313";"Gävleborgs län";0
"1104";"SE321";"Västernorrlands län";4
"1105";"SE322";"Jämtlands län";0
"1106";"SE331";"Västerbottens län";4
"1107";"SE332";"Norrbottens län";0
